query,parameter_index,parameters,results,time_seconds
bi20a,1,"{""company"": ""Balkh_Airlines"", ""person2Id"": ""10995116285979""}",[],0.005929
bi20a,2,"{""company"": ""T'way_Airlines"", ""person2Id"": ""4398046512698""}",[],0.004016
bi20a,3,"{""company"": ""PAL_Express"", ""person2Id"": ""30786325582521""}",[],0.004404
bi20a,4,"{""company"": ""Coastal_Aviation"", ""person2Id"": ""35184372093999""}",[],0.005070
bi20a,5,"{""company"": ""Hokkaido_International_Airlines"", ""person2Id"": ""10995116285979""}",[],0.004345
bi20a,6,"{""company"": ""Aeropostal_Cargo_de_México"", ""person2Id"": ""3507""}",[],0.004235
bi20a,7,"{""company"": ""Air_Next"", ""person2Id"": ""15393162790150""}",[],0.048283
bi20a,8,"{""company"": ""Nationwide_Airlines_(Zambia)"", ""person2Id"": ""17592186050849""}",[],0.004218
bi20a,9,"{""company"": ""FlyMex"", ""person2Id"": ""10995116286881""}",[],0.003932
bi20a,10,"{""company"": ""AeroUnion"", ""person2Id"": ""2199023264575""}",[],44.931618
bi20a,11,"{""company"": ""Balkh_Airlines"", ""person2Id"": ""21990232561512""}",[],0.004386
bi20a,12,"{""company"": ""Hokkaido_International_Airlines"", ""person2Id"": ""4398046512698""}",[],0.009791
bi20a,13,"{""company"": ""ALMA_de_México"", ""person2Id"": ""4398046517061""}",[],0.003914
bi20a,14,"{""company"": ""Japan_Air_Commuter"", ""person2Id"": ""15393162797982""}",[],0.003623
bi20a,15,"{""company"": ""Kam_Air"", ""person2Id"": ""21990232561641""}",[],0.003921
bi20a,16,"{""company"": ""Air_Central"", ""person2Id"": ""2199023264575""}",[],0.003738
bi20a,17,"{""company"": ""Budapest_Aircraft_Service"", ""person2Id"": ""6597069770438""}",[],0.003338
bi20a,18,"{""company"": ""T'way_Airlines"", ""person2Id"": ""2199023265050""}",[],0.003337
bi20a,19,"{""company"": ""Wizz_Air"", ""person2Id"": ""6597069770438""}",[],0.003553
bi20a,20,"{""company"": ""AeroUnion"", ""person2Id"": ""6597069770438""}",[],0.003357
bi20a,21,"{""company"": ""SBA_Airlines"", ""person2Id"": ""3507""}",[],0.003592
bi20a,22,"{""company"": ""Tandem_Aero"", ""person2Id"": ""30786325582521""}",[],0.003345
bi20a,23,"{""company"": ""TransGlobal_Airways"", ""person2Id"": ""2199023262112""}",[],0.003626
bi20a,24,"{""company"": ""TransGlobal_Airways"", ""person2Id"": ""15393162796579""}",[],0.003760
bi20a,25,"{""company"": ""Pamir_Airways"", ""person2Id"": ""10995116286881""}",[],0.003220
bi20a,26,"{""company"": ""Zambian_Airways"", ""person2Id"": ""6597069770438""}",[],0.003135
bi20a,27,"{""company"": ""Tandem_Aero"", ""person2Id"": ""2199023259331""}",[],0.003129
bi20a,28,"{""company"": ""Tandem_Aero"", ""person2Id"": ""26388279068167""}",[],0.003171
bi20a,29,"{""company"": ""Malév_Hungarian_Airlines"", ""person2Id"": ""21990232561641""}",[],0.003502
bi20a,30,"{""company"": ""Bakhtar_Afghan_Airlines"", ""person2Id"": ""28587302324369""}",[],0.003160
bi20a,31,"{""company"": ""Central_Connect_Airlines"", ""person2Id"": ""26388279068167""}",[],0.004669
bi20a,32,"{""company"": ""Sevenair"", ""person2Id"": ""28587302326802""}",[],0.003420
bi20a,33,"{""company"": ""Nationwide_Airlines_(Zambia)"", ""person2Id"": ""10995116285979""}",[],0.003337
bi20a,34,"{""company"": ""Tair_Airways"", ""person2Id"": ""15393162790150""}",[],0.005579
bi20a,35,"{""company"": ""FlyMex"", ""person2Id"": ""35184372093999""}",[],0.004484
bi20a,36,"{""company"": ""New_Central_Airlines"", ""person2Id"": ""3507""}",[],0.005075
bi20a,37,"{""company"": ""Aero_Lanka"", ""person2Id"": ""2199023259331""}",[],0.003474
bi20a,38,"{""company"": ""Wizz_Air"", ""person2Id"": ""26388279072250""}",[],0.004059
bi20a,39,"{""company"": ""Air_Next"", ""person2Id"": ""35184372093999""}",[],0.005356
bi20a,40,"{""company"": ""Cebu_Pacific"", ""person2Id"": ""6597069776268""}",[],0.004007
bi20a,41,"{""company"": ""Pacific_East_Asia_Cargo_Airlines"", ""person2Id"": ""10995116285979""}",[],0.004214
bi20a,42,"{""company"": ""Aeropostal_Cargo_de_México"", ""person2Id"": ""32985348842606""}",[],0.003634
bi20a,43,"{""company"": ""Tandem_Aero"", ""person2Id"": ""17592186049061""}",[],0.003605
bi20a,44,"{""company"": ""Laoag_International_Airlines"", ""person2Id"": ""4398046520135""}",[],0.004056
bi20a,45,"{""company"": ""Malév_Hungarian_Airlines"", ""person2Id"": ""17592186046132""}",[],0.003878
bi20a,46,"{""company"": ""FlyMex"", ""person2Id"": ""30786325582521""}",[],0.003237
bi20a,47,"{""company"": ""Tair_Airways"", ""person2Id"": ""32985348842606""}",[],0.003667
bi20a,48,"{""company"": ""Tair_Airways"", ""person2Id"": ""10995116285979""}",[],0.003579
bi20a,49,"{""company"": ""Nova_Air"", ""person2Id"": ""32985348842606""}",[],0.003196
bi20a,50,"{""company"": ""Central_Connect_Airlines"", ""person2Id"": ""10995116288256""}",[],0.003361
bi20a,51,"{""company"": ""Aeropostal_Cargo_de_México"", ""person2Id"": ""30786325583226""}",[],0.003200
bi20a,52,"{""company"": ""Japan_Air_Commuter"", ""person2Id"": ""4398046517061""}",[],0.003202
bi20a,53,"{""company"": ""Hokkaido_International_Airlines"", ""person2Id"": ""6597069776268""}",[],0.003472
bi20a,54,"{""company"": ""Tanzania_Government_Flight_Agency"", ""person2Id"": ""10995116285979""}",[],0.003274
bi20a,55,"{""company"": ""PAL_Express"", ""person2Id"": ""6597069776268""}",[],0.003438
bi20a,56,"{""company"": ""Aéreo_Servicio_Guerrero"", ""person2Id"": ""26388279072250""}",[],0.003567
bi20a,57,"{""company"": ""TAESA"", ""person2Id"": ""2199023259074""}",[],0.003307
bi20a,58,"{""company"": ""Air_Leasing_Cameroon"", ""person2Id"": ""15393162798696""}",[],0.003355
bi20a,59,"{""company"": ""Nova_Air"", ""person2Id"": ""3507""}",[],0.003236
bi20a,60,"{""company"": ""TAESA"", ""person2Id"": ""30786325582521""}",[],0.003232
bi20a,61,"{""company"": ""Aeropostal_Cargo_de_México"", ""person2Id"": ""6597069773776""}",[],0.003443
bi20a,62,"{""company"": ""Tassili_Airlines"", ""person2Id"": ""15393162797982""}",[],0.003507
bi20a,63,"{""company"": ""Deccan_Lanka"", ""person2Id"": ""6597069773776""}",[],0.003766
bi20a,64,"{""company"": ""New_Central_Airlines"", ""person2Id"": ""26388279072250""}",[],0.003952
bi20a,65,"{""company"": ""Tassili_Airlines"", ""person2Id"": ""10995116288080""}",[],0.003640
bi20a,66,"{""company"": ""Bakhtar_Afghan_Airlines"", ""person2Id"": ""4398046517061""}",[],0.003517
bi20a,67,"{""company"": ""Central_Connect_Airlines"", ""person2Id"": ""2199023264575""}",[],0.003568
bi20a,68,"{""company"": ""TransGlobal_Airways"", ""person2Id"": ""10995116285979""}",[],0.003728
