query,parameter_index,parameters,results,time_seconds
bi10b,1,"{""personId"": ""926"", ""country"": ""Slovenia"", ""tagClass"": ""ComicsCharacter"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Anton\u00edn_Dvo\u0159\u00e1k"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Batman"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Bill_Clinton"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 32985348840920, ""tag.name"": ""Captain_America"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Confucius"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Diana_Ross"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Fernando_Gonz\u00e1lez"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Gautama_Buddha"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Gibraltar"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""James_Monroe"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Jan_Hus"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Kingdom_of_Aragon"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Lex_Luthor"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Luciano_Pavarotti"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Marcelo_Melo"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Michel_Foucault"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Neil_Gaiman"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Nicole_Kidman"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Richard_Nixon"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""Saint_Peter"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Spider-Man"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""William_Pitt_the_Younger"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 15393162792327, ""tag.name"": ""You_Took_the_Words_Right_Out_of_My_Mouth"", ""messageCount"": 1}]",0.074263
bi10b,2,"{""personId"": ""2199023259494"", ""country"": ""Singapore"", ""tagClass"": ""SnookerChamp"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073010
bi10b,3,"{""personId"": ""6597069772091"", ""country"": ""Dominican_Republic"", ""tagClass"": ""SnookerChamp"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.067965
bi10b,4,"{""personId"": ""4398046513033"", ""country"": ""Croatia"", ""tagClass"": ""CollegeCoach"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.064850
bi10b,5,"{""personId"": ""4398046515627"", ""country"": ""Finland"", ""tagClass"": ""SnookerChamp"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073074
bi10b,6,"{""personId"": ""4398046519737"", ""country"": ""Uruguay"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 6597069768950, ""tag.name"": ""Ezra_Pound"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069768950, ""tag.name"": ""Joseph_Goebbels"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069768950, ""tag.name"": ""Kingdom_of_England"", ""messageCount"": 1}]",0.070940
bi10b,7,"{""personId"": ""3955"", ""country"": ""Slovenia"", ""tagClass"": ""SnookerChamp"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Stephen_Hendry"", ""messageCount"": 2}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Northern_Ireland"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139537986, ""tag.name"": ""Robert_Schumann"", ""messageCount"": 1}]",0.082556
bi10b,8,"{""personId"": ""3955"", ""country"": ""Scotland"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.077672
bi10b,9,"{""personId"": ""4618"", ""country"": ""Nicaragua"", ""tagClass"": ""Athlete"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.002044
bi10b,10,"{""personId"": ""8317"", ""country"": ""Croatia"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.074593
bi10b,11,"{""personId"": ""4398046519225"", ""country"": ""Swaziland"", ""tagClass"": ""Band"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 28587302326645, ""tag.name"": ""Condoleezza_Rice"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Get_Outta_My_Dreams,_Get_into_My_Car"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Paul_Hindemith"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302326645, ""tag.name"": ""State_of_the_Teutonic_Order"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Sweets_for_My_Sweet"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""The_Everly_Brothers"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302326645, ""tag.name"": ""The_Everly_Brothers"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Venezuela"", ""messageCount"": 1}]",0.092577
bi10b,12,"{""personId"": ""4398046518680"", ""country"": ""Finland"", ""tagClass"": ""Wrestler"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.081350
bi10b,13,"{""personId"": ""6597069770287"", ""country"": ""Bosnia_and_Herzegovina"", ""tagClass"": ""Criminal"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.076324
bi10b,14,"{""personId"": ""4398046513033"", ""country"": ""Dominican_Republic"", ""tagClass"": ""Company"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Universal_Studios"", ""messageCount"": 3}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Augustus"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Benjamin_Disraeli"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Bugs_Bunny"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""D._W._Griffith"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Dolly_Parton"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""French_First_Republic"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Guy_Sebastian"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Hillary_Rodham_Clinton"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Juan_Carlos_I_of_Spain"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Kingdom_of_France"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Michelangelo"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Pierre_Trudeau"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Ptolemy"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Robert_Louis_Stevenson"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Saint_Andrew"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Singles_Box_Set_1981\u20131985"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""South_Sudan"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""The_Bahamas"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""Universal_Studios"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Venezuela"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 28587302329871, ""tag.name"": ""Virgil"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 8796093027342, ""tag.name"": ""With_The_Beatles"", ""messageCount"": 1}]",0.073645
bi10b,15,"{""personId"": ""8600"", ""country"": ""Azerbaijan"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.082129
bi10b,16,"{""personId"": ""4398046513116"", ""country"": ""Uruguay"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.072261
bi10b,17,"{""personId"": ""7861"", ""country"": ""Azerbaijan"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Adam_Smith"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Hugh_Jackman"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Joseph_Goebbels"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Muhammad"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Sounds_of_the_Universe"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 6597069774915, ""tag.name"": ""Stuck_with_You"", ""messageCount"": 1}]",0.077096
bi10b,18,"{""personId"": ""6597069770218"", ""country"": ""Honduras"", ""tagClass"": ""CollegeCoach"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.077920
bi10b,19,"{""personId"": ""4398046512500"", ""country"": ""Papua_New_Guinea"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.078048
bi10b,20,"{""personId"": ""4618"", ""country"": ""Jordan"", ""tagClass"": ""Athlete"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.001878
bi10b,21,"{""personId"": ""4398046519642"", ""country"": ""Scotland"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.070042
bi10b,22,"{""personId"": ""6597069770240"", ""country"": ""Bolivia"", ""tagClass"": ""Athlete"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.002006
bi10b,23,"{""personId"": ""3955"", ""country"": ""Scotland"", ""tagClass"": ""ComicsCharacter"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Spider-Man"", ""messageCount"": 2}, {""expertCandidatePerson.id"": 10995116288077, ""tag.name"": ""Bonnie_Raitt"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 10995116288077, ""tag.name"": ""Duchy_of_the_Archipelago"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Flex_Your_Head"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 10995116288077, ""tag.name"": ""Lex_Luthor"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Madvillainy"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Marcus_Aurelius"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Mauritius"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 10995116288077, ""tag.name"": ""Roy_Orbison"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Sammy_Sosa"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""Superman"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""We_Are_the_World"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 4398046518085, ""tag.name"": ""William_Howard_Taft"", ""messageCount"": 1}]",0.068352
bi10b,24,"{""personId"": ""4398046515627"", ""country"": ""Swaziland"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}","[{""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""I_Against_I"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Jan_Hus"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Joseph_Goebbels"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Napoleon_III"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Northern_Ireland"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Oliver_Cromwell"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Richard_Nixon"", ""messageCount"": 1}, {""expertCandidatePerson.id"": 13194139534037, ""tag.name"": ""Virtual_Insanity"", ""messageCount"": 1}]",0.068902
bi10b,25,"{""personId"": ""6597069767542"", ""country"": ""Jordan"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.001899
bi10b,26,"{""personId"": ""2199023261954"", ""country"": ""Dominican_Republic"", ""tagClass"": ""SnookerChamp"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.069633
bi10b,27,"{""personId"": ""4398046513116"", ""country"": ""Swaziland"", ""tagClass"": ""Wrestler"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.068846
bi10b,28,"{""personId"": ""1093"", ""country"": ""Croatia"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.065984
bi10b,29,"{""personId"": ""4398046513909"", ""country"": ""Bolivia"", ""tagClass"": ""Criminal"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.001773
bi10b,30,"{""personId"": ""2199023261954"", ""country"": ""Croatia"", ""tagClass"": ""Chancellor"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.066160
bi10b,31,"{""personId"": ""4398046514739"", ""country"": ""Jordan"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.081942
bi10b,32,"{""personId"": ""4398046513033"", ""country"": ""Laos"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.067339
bi10b,33,"{""personId"": ""4934"", ""country"": ""Dominican_Republic"", ""tagClass"": ""SnookerPlayer"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.066396
bi10b,34,"{""personId"": ""10192"", ""country"": ""Finland"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.072599
bi10b,35,"{""personId"": ""7861"", ""country"": ""Oman"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.074851
bi10b,36,"{""personId"": ""4398046519642"", ""country"": ""Wales"", ""tagClass"": ""SnookerPlayer"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073992
bi10b,37,"{""personId"": ""5155"", ""country"": ""Bolivia"", ""tagClass"": ""Cyclist"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.068579
bi10b,38,"{""personId"": ""7861"", ""country"": ""Honduras"", ""tagClass"": ""Astronaut"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.066313
bi10b,39,"{""personId"": ""2199023257807"", ""country"": ""Austria"", ""tagClass"": ""Wrestler"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.070718
bi10b,40,"{""personId"": ""6597069768541"", ""country"": ""Uruguay"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.071026
bi10b,41,"{""personId"": ""6597069772091"", ""country"": ""Bolivia"", ""tagClass"": ""MemberOfParliament"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073425
bi10b,42,"{""personId"": ""6597069770240"", ""country"": ""Slovenia"", ""tagClass"": ""Company"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.001778
bi10b,43,"{""personId"": ""2199023261845"", ""country"": ""Slovenia"", ""tagClass"": ""MemberOfParliament"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073031
bi10b,44,"{""personId"": ""5155"", ""country"": ""Austria"", ""tagClass"": ""Wrestler"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.069290
bi10b,45,"{""personId"": ""2199023259494"", ""country"": ""Finland"", ""tagClass"": ""Wrestler"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.073479
bi10b,46,"{""personId"": ""6597069768935"", ""country"": ""Honduras"", ""tagClass"": ""Model"", ""minPathDistance"": ""3"", ""maxPathDistance"": ""4""}",[],0.067316
