query,parameter_index,parameters,results,time_seconds
bi19a,1,"{""city1Id"": ""655"", ""city2Id"": ""1138""}","[{""person1.id"": 24189255818627, ""person2.id"": 26388279072272, ""totalWeight"": 39.0}]",0.232452
bi19a,2,"{""city1Id"": ""1080"", ""city2Id"": ""1106""}","[{""person1.id"": 8796093022269, ""person2.id"": 4398046519025, ""totalWeight"": 73.0}, {""person1.id"": 8796093026214, ""person2.id"": 4398046519025, ""totalWeight"": 73.0}]",0.395581
bi19a,3,"{""city1Id"": ""271"", ""city2Id"": ""842""}","[{""person1.id"": 32985348838461, ""person2.id"": 35184372091451, ""totalWeight"": 39.0}]",0.294766
bi19a,4,"{""city1Id"": ""553"", ""city2Id"": ""737""}","[{""person1.id"": 17592186053840, ""person2.id"": 10995116285514, ""totalWeight"": 73.0}]",0.180998
bi19a,5,"{""city1Id"": ""246"", ""city2Id"": ""483""}","[{""person1.id"": 24189255817359, ""person2.id"": 15393162791441, ""totalWeight"": 39.0}]",0.186805
bi19a,6,"{""city1Id"": ""117"", ""city2Id"": ""659""}","[{""person1.id"": 10995116288013, ""person2.id"": 21990232556461, ""totalWeight"": 37.0}]",0.405562
bi19a,7,"{""city1Id"": ""455"", ""city2Id"": ""950""}","[{""person1.id"": 10995116285961, ""person2.id"": 35184372094207, ""totalWeight"": 37.0}]",0.110110
bi19a,8,"{""city1Id"": ""632"", ""city2Id"": ""1227""}","[{""person1.id"": 13194139539233, ""person2.id"": 30786325582392, ""totalWeight"": 38.0}]",0.452438
bi19a,9,"{""city1Id"": ""608"", ""city2Id"": ""1148""}","[{""person1.id"": 17592186044961, ""person2.id"": 26388279070147, ""totalWeight"": 38.0}]",0.155411
bi19a,10,"{""city1Id"": ""152"", ""city2Id"": ""654""}","[{""person1.id"": 2199023258705, ""person2.id"": 10995116283346, ""totalWeight"": 72.0}]",0.234222
bi19a,11,"{""city1Id"": ""150"", ""city2Id"": ""801""}","[{""person1.id"": 19791209301598, ""person2.id"": 35184372099040, ""totalWeight"": 38.0}]",0.179357
bi19a,12,"{""city1Id"": ""253"", ""city2Id"": ""702""}","[{""person1.id"": 35184372095990, ""person2.id"": 35184372097588, ""totalWeight"": 39.0}]",0.498565
bi19a,13,"{""city1Id"": ""300"", ""city2Id"": ""457""}","[{""person1.id"": 4398046511304, ""person2.id"": 24189255814845, ""totalWeight"": 38.0}]",0.312799
bi19a,14,"{""city1Id"": ""640"", ""city2Id"": ""723""}","[{""person1.id"": 8796093032002, ""person2.id"": 2199023258695, ""totalWeight"": 36.0}]",0.331726
bi19a,15,"{""city1Id"": ""227"", ""city2Id"": ""1100""}","[{""person1.id"": 15393162788923, ""person2.id"": 2199023265887, ""totalWeight"": 38.0}]",0.141707
bi19a,16,"{""city1Id"": ""1306"", ""city2Id"": ""1316""}","[{""person1.id"": 13194139541196, ""person2.id"": 21990232563793, ""totalWeight"": 37.0}]",0.180485
bi19a,17,"{""city1Id"": ""362"", ""city2Id"": ""1165""}","[{""person1.id"": 15393162792419, ""person2.id"": 24189255813923, ""totalWeight"": 73.0}]",0.266769
bi19a,18,"{""city1Id"": ""785"", ""city2Id"": ""1368""}","[{""person1.id"": 17592186052709, ""person2.id"": 21990232561154, ""totalWeight"": 37.0}]",0.627079
bi19a,19,"{""city1Id"": ""760"", ""city2Id"": ""934""}","[{""person1.id"": 30786325577987, ""person2.id"": 10995116287220, ""totalWeight"": 38.0}]",0.306493
bi19a,20,"{""city1Id"": ""399"", ""city2Id"": ""942""}","[{""person1.id"": 10995116279592, ""person2.id"": 8796093027822, ""totalWeight"": 37.0}]",0.559906
bi19a,21,"{""city1Id"": ""606"", ""city2Id"": ""1021""}","[{""person1.id"": 15393162799448, ""person2.id"": 6597069774986, ""totalWeight"": 37.0}]",0.397819
bi19a,22,"{""city1Id"": ""475"", ""city2Id"": ""804""}","[{""person1.id"": 13194139536821, ""person2.id"": 19791209306158, ""totalWeight"": 37.0}]",0.319314
bi19a,23,"{""city1Id"": ""1086"", ""city2Id"": ""1190""}","[{""person1.id"": 948, ""person2.id"": 28587302330649, ""totalWeight"": 38.0}]",0.416922
bi19a,24,"{""city1Id"": ""565"", ""city2Id"": ""719""}","[{""person1.id"": 19791209302448, ""person2.id"": 24189255818587, ""totalWeight"": 39.0}]",0.219070
bi19a,25,"{""city1Id"": ""589"", ""city2Id"": ""778""}","[{""person1.id"": 28587302327198, ""person2.id"": 28587302326556, ""totalWeight"": 75.0}]",0.272818
