query,parameter_index,parameters,results,time_seconds
bi18,1,"{""tag"": ""Fyodor_Dostoyevsky""}","[{""person1.id"": 2199023256539, ""person2.id"": 24189255821523, ""mutualFriendCount"": 31}, {""person1.id"": 24189255821523, ""person2.id"": 2199023256539, ""mutualFriendCount"": 31}, {""person1.id"": 15393162796970, ""person2.id"": 24189255820514, ""mutualFriendCount"": 25}, {""person1.id"": 24189255820514, ""person2.id"": 15393162796970, ""mutualFriendCount"": 25}, {""person1.id"": 4398046511410, ""person2.id"": 13194139543082, ""mutualFriendCount"": 23}, {""person1.id"": 10995116284091, ""person2.id"": 24189255815677, ""mutualFriendCount"": 23}, {""person1.id"": 13194139543082, ""person2.id"": 4398046511410, ""mutualFriendCount"": 23}, {""person1.id"": 24189255815677, ""person2.id"": 10995116284091, ""mutualFriendCount"": 23}, {""person1.id"": 24189255819695, ""person2.id"": 24189255821523, ""mutualFriendCount"": 20}, {""person1.id"": 24189255821523, ""person2.id"": 24189255819695, ""mutualFriendCount"": 20}, {""person1.id"": 24189255820514, ""person2.id"": 24189255821523, ""mutualFriendCount"": 18}, {""person1.id"": 24189255821523, ""person2.id"": 24189255820514, ""mutualFriendCount"": 18}, {""person1.id"": 2199023256539, ""person2.id"": 15393162796970, ""mutualFriendCount"": 17}, {""person1.id"": 2199023256539, ""person2.id"": 24189255819695, ""mutualFriendCount"": 17}, {""person1.id"": 13194139536963, ""person2.id"": 13194139543082, ""mutualFriendCount"": 17}, {""person1.id"": 13194139543082, ""person2.id"": 13194139536963, ""mutualFriendCount"": 17}, {""person1.id"": 15393162796970, ""person2.id"": 2199023256539, ""mutualFriendCount"": 17}, {""person1.id"": 17592186050431, ""person2.id"": 26388279069225, ""mutualFriendCount"": 17}, {""person1.id"": 24189255819695, ""person2.id"": 2199023256539, ""mutualFriendCount"": 17}, {""person1.id"": 26388279069225, ""person2.id"": 17592186050431, ""mutualFriendCount"": 17}]",0.222585
bi18,2,"{""tag"": ""J._R._R._Tolkien""}","[{""person1.id"": 563, ""person2.id"": 10349, ""mutualFriendCount"": 28}, {""person1.id"": 10349, ""person2.id"": 563, ""mutualFriendCount"": 28}, {""person1.id"": 10995116284554, ""person2.id"": 19791209305198, ""mutualFriendCount"": 28}, {""person1.id"": 19791209305198, ""person2.id"": 10995116284554, ""mutualFriendCount"": 28}, {""person1.id"": 6597069767181, ""person2.id"": 10995116284554, ""mutualFriendCount"": 26}, {""person1.id"": 10995116284554, ""person2.id"": 6597069767181, ""mutualFriendCount"": 26}, {""person1.id"": 10349, ""person2.id"": 6597069767941, ""mutualFriendCount"": 25}, {""person1.id"": 10349, ""person2.id"": 6597069768442, ""mutualFriendCount"": 25}, {""person1.id"": 2199023256539, ""person2.id"": 6597069767181, ""mutualFriendCount"": 25}, {""person1.id"": 2199023256539, ""person2.id"": 8796093023939, ""mutualFriendCount"": 25}, {""person1.id"": 6597069767181, ""person2.id"": 2199023256539, ""mutualFriendCount"": 25}, {""person1.id"": 6597069767941, ""person2.id"": 10349, ""mutualFriendCount"": 25}, {""person1.id"": 6597069768442, ""person2.id"": 10349, ""mutualFriendCount"": 25}, {""person1.id"": 8796093023939, ""person2.id"": 2199023256539, ""mutualFriendCount"": 25}, {""person1.id"": 10995116284554, ""person2.id"": 17592186045301, ""mutualFriendCount"": 24}, {""person1.id"": 17592186045301, ""person2.id"": 10995116284554, ""mutualFriendCount"": 24}, {""person1.id"": 6597069774840, ""person2.id"": 8796093023939, ""mutualFriendCount"": 23}, {""person1.id"": 8796093023939, ""person2.id"": 6597069774840, ""mutualFriendCount"": 23}, {""person1.id"": 6597069768442, ""person2.id"": 10995116284554, ""mutualFriendCount"": 22}, {""person1.id"": 10995116284554, ""person2.id"": 6597069768442, ""mutualFriendCount"": 22}]",0.250355
bi18,3,"{""tag"": ""Johann_Sebastian_Bach""}","[{""person1.id"": 2866, ""person2.id"": 15393162797132, ""mutualFriendCount"": 54}, {""person1.id"": 15393162797132, ""person2.id"": 2866, ""mutualFriendCount"": 54}, {""person1.id"": 2866, ""person2.id"": 35184372092691, ""mutualFriendCount"": 51}, {""person1.id"": 35184372092691, ""person2.id"": 2866, ""mutualFriendCount"": 51}, {""person1.id"": 35184372091084, ""person2.id"": 35184372092691, ""mutualFriendCount"": 36}, {""person1.id"": 35184372092691, ""person2.id"": 35184372091084, ""mutualFriendCount"": 36}, {""person1.id"": 2866, ""person2.id"": 13194139540622, ""mutualFriendCount"": 35}, {""person1.id"": 13194139540622, ""person2.id"": 2866, ""mutualFriendCount"": 35}, {""person1.id"": 2866, ""person2.id"": 2199023260487, ""mutualFriendCount"": 33}, {""person1.id"": 2199023260487, ""person2.id"": 2866, ""mutualFriendCount"": 33}, {""person1.id"": 2866, ""person2.id"": 17592186051306, ""mutualFriendCount"": 30}, {""person1.id"": 17592186051306, ""person2.id"": 2866, ""mutualFriendCount"": 30}, {""person1.id"": 10995116282829, ""person2.id"": 15393162797132, ""mutualFriendCount"": 28}, {""person1.id"": 15393162797132, ""person2.id"": 10995116282829, ""mutualFriendCount"": 28}, {""person1.id"": 2199023260487, ""person2.id"": 24189255812324, ""mutualFriendCount"": 27}, {""person1.id"": 24189255812324, ""person2.id"": 2199023260487, ""mutualFriendCount"": 27}, {""person1.id"": 2866, ""person2.id"": 35184372091084, ""mutualFriendCount"": 25}, {""person1.id"": 10995116288202, ""person2.id"": 15393162797132, ""mutualFriendCount"": 25}, {""person1.id"": 15393162797132, ""person2.id"": 10995116288202, ""mutualFriendCount"": 25}, {""person1.id"": 15393162797132, ""person2.id"": 35184372092691, ""mutualFriendCount"": 25}]",0.279387
bi18,4,"{""tag"": ""George_III_of_the_United_Kingdom""}","[{""person1.id"": 5099, ""person2.id"": 8796093029641, ""mutualFriendCount"": 30}, {""person1.id"": 8796093029641, ""person2.id"": 5099, ""mutualFriendCount"": 30}, {""person1.id"": 4398046520505, ""person2.id"": 13194139541221, ""mutualFriendCount"": 24}, {""person1.id"": 13194139541221, ""person2.id"": 4398046520505, ""mutualFriendCount"": 24}, {""person1.id"": 13194139537123, ""person2.id"": 13194139539364, ""mutualFriendCount"": 22}, {""person1.id"": 13194139539364, ""person2.id"": 13194139537123, ""mutualFriendCount"": 22}, {""person1.id"": 563, ""person2.id"": 15393162790313, ""mutualFriendCount"": 20}, {""person1.id"": 15393162790313, ""person2.id"": 563, ""mutualFriendCount"": 20}, {""person1.id"": 563, ""person2.id"": 4398046520505, ""mutualFriendCount"": 18}, {""person1.id"": 4398046520505, ""person2.id"": 563, ""mutualFriendCount"": 18}, {""person1.id"": 563, ""person2.id"": 32985348838678, ""mutualFriendCount"": 16}, {""person1.id"": 32985348838678, ""person2.id"": 563, ""mutualFriendCount"": 16}, {""person1.id"": 4398046520505, ""person2.id"": 26388279069077, ""mutualFriendCount"": 14}, {""person1.id"": 6597069776372, ""person2.id"": 28587302324468, ""mutualFriendCount"": 14}, {""person1.id"": 8796093029641, ""person2.id"": 30786325583430, ""mutualFriendCount"": 14}, {""person1.id"": 26388279069077, ""person2.id"": 4398046520505, ""mutualFriendCount"": 14}, {""person1.id"": 28587302324468, ""person2.id"": 6597069776372, ""mutualFriendCount"": 14}, {""person1.id"": 30786325583430, ""person2.id"": 8796093029641, ""mutualFriendCount"": 14}, {""person1.id"": 5099, ""person2.id"": 17592186049711, ""mutualFriendCount"": 13}, {""person1.id"": 5099, ""person2.id"": 30786325583430, ""mutualFriendCount"": 13}]",0.168530
bi18,5,"{""tag"": ""Charles_I_of_England""}","[{""person1.id"": 6597069774812, ""person2.id"": 35184372089418, ""mutualFriendCount"": 23}, {""person1.id"": 35184372089418, ""person2.id"": 6597069774812, ""mutualFriendCount"": 23}, {""person1.id"": 6597069776446, ""person2.id"": 19791209300837, ""mutualFriendCount"": 22}, {""person1.id"": 8796093032192, ""person2.id"": 35184372089418, ""mutualFriendCount"": 22}, {""person1.id"": 19791209300837, ""person2.id"": 6597069776446, ""mutualFriendCount"": 22}, {""person1.id"": 35184372089418, ""person2.id"": 8796093032192, ""mutualFriendCount"": 22}, {""person1.id"": 4398046511410, ""person2.id"": 6597069775058, ""mutualFriendCount"": 21}, {""person1.id"": 6597069775058, ""person2.id"": 4398046511410, ""mutualFriendCount"": 21}, {""person1.id"": 6597069774812, ""person2.id"": 21990232560776, ""mutualFriendCount"": 19}, {""person1.id"": 6597069774812, ""person2.id"": 26388279069225, ""mutualFriendCount"": 19}, {""person1.id"": 21990232560776, ""person2.id"": 6597069774812, ""mutualFriendCount"": 19}, {""person1.id"": 26388279069225, ""person2.id"": 6597069774812, ""mutualFriendCount"": 19}, {""person1.id"": 4398046511410, ""person2.id"": 28587302325881, ""mutualFriendCount"": 18}, {""person1.id"": 21990232565298, ""person2.id"": 35184372089418, ""mutualFriendCount"": 18}, {""person1.id"": 28587302325881, ""person2.id"": 4398046511410, ""mutualFriendCount"": 18}, {""person1.id"": 35184372089418, ""person2.id"": 21990232565298, ""mutualFriendCount"": 18}, {""person1.id"": 6597069774812, ""person2.id"": 21990232565298, ""mutualFriendCount"": 17}, {""person1.id"": 6597069776446, ""person2.id"": 10995116286217, ""mutualFriendCount"": 17}, {""person1.id"": 6597069776446, ""person2.id"": 24189255818810, ""mutualFriendCount"": 17}, {""person1.id"": 10995116286217, ""person2.id"": 6597069776446, ""mutualFriendCount"": 17}]",0.207775
bi18,6,"{""tag"": ""Gerald_Ford""}","[{""person1.id"": 28587302324596, ""person2.id"": 30786325584205, ""mutualFriendCount"": 22}, {""person1.id"": 30786325584205, ""person2.id"": 28587302324596, ""mutualFriendCount"": 22}, {""person1.id"": 2199023261777, ""person2.id"": 10995116283883, ""mutualFriendCount"": 18}, {""person1.id"": 10995116283883, ""person2.id"": 2199023261777, ""mutualFriendCount"": 18}, {""person1.id"": 17592186046077, ""person2.id"": 19791209307970, ""mutualFriendCount"": 17}, {""person1.id"": 19791209307970, ""person2.id"": 17592186046077, ""mutualFriendCount"": 17}, {""person1.id"": 19791209310025, ""person2.id"": 26388279075645, ""mutualFriendCount"": 17}, {""person1.id"": 26388279075645, ""person2.id"": 19791209310025, ""mutualFriendCount"": 17}, {""person1.id"": 10149, ""person2.id"": 4398046517189, ""mutualFriendCount"": 14}, {""person1.id"": 2199023260698, ""person2.id"": 24189255818402, ""mutualFriendCount"": 14}, {""person1.id"": 4398046517189, ""person2.id"": 10149, ""mutualFriendCount"": 14}, {""person1.id"": 13194139534178, ""person2.id"": 13194139536351, ""mutualFriendCount"": 14}, {""person1.id"": 13194139536351, ""person2.id"": 13194139534178, ""mutualFriendCount"": 14}, {""person1.id"": 24189255818402, ""person2.id"": 2199023260698, ""mutualFriendCount"": 14}, {""person1.id"": 24189255818402, ""person2.id"": 30786325583430, ""mutualFriendCount"": 14}, {""person1.id"": 30786325583430, ""person2.id"": 24189255818402, ""mutualFriendCount"": 14}, {""person1.id"": 15393162793576, ""person2.id"": 30786325584205, ""mutualFriendCount"": 13}, {""person1.id"": 19791209307809, ""person2.id"": 32985348842205, ""mutualFriendCount"": 13}, {""person1.id"": 19791209310025, ""person2.id"": 26388279066664, ""mutualFriendCount"": 13}, {""person1.id"": 26388279066664, ""person2.id"": 19791209310025, ""mutualFriendCount"": 13}]",0.221002
bi18,7,"{""tag"": ""Jean-Paul_Sartre""}","[{""person1.id"": 15393162799092, ""person2.id"": 19791209303940, ""mutualFriendCount"": 78}, {""person1.id"": 19791209303940, ""person2.id"": 15393162799092, ""mutualFriendCount"": 78}, {""person1.id"": 17592186054998, ""person2.id"": 28587302326380, ""mutualFriendCount"": 55}, {""person1.id"": 28587302326380, ""person2.id"": 17592186054998, ""mutualFriendCount"": 55}, {""person1.id"": 15393162799092, ""person2.id"": 28587302326380, ""mutualFriendCount"": 48}, {""person1.id"": 28587302326380, ""person2.id"": 15393162799092, ""mutualFriendCount"": 48}, {""person1.id"": 4398046511410, ""person2.id"": 15393162799092, ""mutualFriendCount"": 43}, {""person1.id"": 15393162799092, ""person2.id"": 4398046511410, ""mutualFriendCount"": 43}, {""person1.id"": 19791209301675, ""person2.id"": 19791209303940, ""mutualFriendCount"": 30}, {""person1.id"": 19791209303940, ""person2.id"": 19791209301675, ""mutualFriendCount"": 30}, {""person1.id"": 2239, ""person2.id"": 15393162796126, ""mutualFriendCount"": 28}, {""person1.id"": 2239, ""person2.id"": 28587302326380, ""mutualFriendCount"": 28}, {""person1.id"": 15393162796126, ""person2.id"": 2239, ""mutualFriendCount"": 28}, {""person1.id"": 15393162799092, ""person2.id"": 28587302327742, ""mutualFriendCount"": 28}, {""person1.id"": 28587302326380, ""person2.id"": 2239, ""mutualFriendCount"": 28}, {""person1.id"": 28587302327742, ""person2.id"": 15393162799092, ""mutualFriendCount"": 28}, {""person1.id"": 2199023265402, ""person2.id"": 15393162799092, ""mutualFriendCount"": 26}, {""person1.id"": 4398046511410, ""person2.id"": 19791209303940, ""mutualFriendCount"": 26}, {""person1.id"": 15393162799092, ""person2.id"": 2199023265402, ""mutualFriendCount"": 26}, {""person1.id"": 19791209303940, ""person2.id"": 4398046511410, ""mutualFriendCount"": 26}]",0.272836
bi18,8,"{""tag"": ""Martin_Luther_King,_Jr.""}","[{""person1.id"": 15393162799092, ""person2.id"": 17592186054279, ""mutualFriendCount"": 42}, {""person1.id"": 17592186054279, ""person2.id"": 15393162799092, ""mutualFriendCount"": 42}, {""person1.id"": 6597069774986, ""person2.id"": 17592186051788, ""mutualFriendCount"": 39}, {""person1.id"": 17592186051788, ""person2.id"": 6597069774986, ""mutualFriendCount"": 39}, {""person1.id"": 15393162799092, ""person2.id"": 21990232559802, ""mutualFriendCount"": 37}, {""person1.id"": 21990232559802, ""person2.id"": 15393162799092, ""mutualFriendCount"": 37}, {""person1.id"": 30786325578027, ""person2.id"": 35184372093927, ""mutualFriendCount"": 34}, {""person1.id"": 35184372093927, ""person2.id"": 30786325578027, ""mutualFriendCount"": 34}, {""person1.id"": 2199023265402, ""person2.id"": 15393162799092, ""mutualFriendCount"": 26}, {""person1.id"": 6597069774986, ""person2.id"": 8796093032192, ""mutualFriendCount"": 26}, {""person1.id"": 6597069774986, ""person2.id"": 30786325578027, ""mutualFriendCount"": 26}, {""person1.id"": 8796093032192, ""person2.id"": 6597069774986, ""mutualFriendCount"": 26}, {""person1.id"": 15393162799092, ""person2.id"": 2199023265402, ""mutualFriendCount"": 26}, {""person1.id"": 30786325578027, ""person2.id"": 6597069774986, ""mutualFriendCount"": 26}, {""person1.id"": 8796093029676, ""person2.id"": 30786325578027, ""mutualFriendCount"": 25}, {""person1.id"": 15393162799092, ""person2.id"": 24189255813721, ""mutualFriendCount"": 25}, {""person1.id"": 24189255813721, ""person2.id"": 15393162799092, ""mutualFriendCount"": 25}, {""person1.id"": 30786325578027, ""person2.id"": 8796093029676, ""mutualFriendCount"": 25}, {""person1.id"": 13194139542917, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 13194139542917, ""mutualFriendCount"": 24}]",0.218301
bi18,9,"{""tag"": ""David_Hume""}","[{""person1.id"": 4398046511410, ""person2.id"": 15393162799092, ""mutualFriendCount"": 43}, {""person1.id"": 15393162799092, ""person2.id"": 4398046511410, ""mutualFriendCount"": 43}, {""person1.id"": 15393162799092, ""person2.id"": 17592186051306, ""mutualFriendCount"": 35}, {""person1.id"": 17592186051306, ""person2.id"": 15393162799092, ""mutualFriendCount"": 35}, {""person1.id"": 15393162799092, ""person2.id"": 28587302327742, ""mutualFriendCount"": 28}, {""person1.id"": 15393162799092, ""person2.id"": 30786325585720, ""mutualFriendCount"": 28}, {""person1.id"": 28587302327742, ""person2.id"": 15393162799092, ""mutualFriendCount"": 28}, {""person1.id"": 30786325585720, ""person2.id"": 15393162799092, ""mutualFriendCount"": 28}, {""person1.id"": 15393162799092, ""person2.id"": 21990232557315, ""mutualFriendCount"": 27}, {""person1.id"": 21990232557315, ""person2.id"": 15393162799092, ""mutualFriendCount"": 27}, {""person1.id"": 4398046511410, ""person2.id"": 21990232557315, ""mutualFriendCount"": 24}, {""person1.id"": 13194139535015, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}, {""person1.id"": 13194139542917, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 13194139535015, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 13194139542917, ""mutualFriendCount"": 24}, {""person1.id"": 21990232557315, ""person2.id"": 4398046511410, ""mutualFriendCount"": 24}, {""person1.id"": 2199023264745, ""person2.id"": 15393162799092, ""mutualFriendCount"": 23}, {""person1.id"": 6597069774812, ""person2.id"": 15393162799092, ""mutualFriendCount"": 23}, {""person1.id"": 15393162789356, ""person2.id"": 15393162799092, ""mutualFriendCount"": 23}, {""person1.id"": 15393162799092, ""person2.id"": 2199023264745, ""mutualFriendCount"": 23}]",0.327908
bi18,10,"{""tag"": ""John_Milton""}","[{""person1.id"": 6597069774064, ""person2.id"": 6597069774812, ""mutualFriendCount"": 92}, {""person1.id"": 6597069774812, ""person2.id"": 6597069774064, ""mutualFriendCount"": 92}, {""person1.id"": 6597069774064, ""person2.id"": 30786325584205, ""mutualFriendCount"": 49}, {""person1.id"": 30786325584205, ""person2.id"": 6597069774064, ""mutualFriendCount"": 49}, {""person1.id"": 4398046511410, ""person2.id"": 15393162799092, ""mutualFriendCount"": 43}, {""person1.id"": 15393162799092, ""person2.id"": 4398046511410, ""mutualFriendCount"": 43}, {""person1.id"": 15393162799092, ""person2.id"": 17592186051306, ""mutualFriendCount"": 35}, {""person1.id"": 17592186051306, ""person2.id"": 15393162799092, ""mutualFriendCount"": 35}, {""person1.id"": 6597069774064, ""person2.id"": 26388279070251, ""mutualFriendCount"": 29}, {""person1.id"": 6597069774812, ""person2.id"": 32985348837125, ""mutualFriendCount"": 29}, {""person1.id"": 26388279070251, ""person2.id"": 6597069774064, ""mutualFriendCount"": 29}, {""person1.id"": 32985348837125, ""person2.id"": 6597069774812, ""mutualFriendCount"": 29}, {""person1.id"": 6597069774812, ""person2.id"": 26388279070251, ""mutualFriendCount"": 28}, {""person1.id"": 26388279070251, ""person2.id"": 6597069774812, ""mutualFriendCount"": 28}, {""person1.id"": 6597069774064, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}, {""person1.id"": 13194139542917, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 6597069774064, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 13194139542917, ""mutualFriendCount"": 24}, {""person1.id"": 15393162799092, ""person2.id"": 30786325587579, ""mutualFriendCount"": 24}, {""person1.id"": 30786325587579, ""person2.id"": 15393162799092, ""mutualFriendCount"": 24}]",0.230961
